fecha,temperatura_promedio
2017-07-05,22.13805911330049
2017-07-06,22.05149397920087
2017-07-07,21.865432950191572
2017-07-08,21.79860344827586
2017-07-09,21.89348823207444
2017-07-10,21.959053366174057
2017-07-11,22.010653804050357
2017-07-12,22.049607279693486
2017-07-13,22.05975588396278
2017-07-14,21.762662561576356
2017-07-15,21.709875205254512
2017-07-16,21.741221674876847
2017-07-17,21.586145593869734
2017-07-18,21.501282977558837
2017-07-19,21.43633360700602
2017-07-20,21.518230432402845
2017-07-21,21.50253667214012
2017-07-22,21.358535851122056
2017-07-23,21.128242474001095
2017-07-24,20.978559660645864
2017-07-25,20.958561302681993
2017-07-26,20.93529830322934
2017-07-27,20.93038943623426
2017-07-28,21.037119047619047
2017-07-29,21.071255336617405
2017-07-30,21.08725697865353
2017-07-31,21.063252052545153
